id,PROPERTY TYPE,CITY,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,community,floor
NY_8520,Single Family Residential,Woodhaven,5.0,3.0,Woodhaven,2673.0,1942.0,1920.0,738.0,,40.688153,-73.854035,Woodhaven,No
NY_5782,Multi-Family (2-4 Unit),Ozone Park,6.0,3.0,Ozone Park,2158.0,2158.0,1925.0,584.0,,40.67701160000001,-73.83231009999999,Ozone Park,wood floor
NY_8365,Multi-Family (2-4 Unit),College Point,4.0,2.0,College Point,1650.0,2500.0,1927.0,782.0,,40.779914,-73.843067,College Point,No
NY_3881,Townhouse,Flushing,2.0,1.0,Flushing,924.0,2066.0,1946.0,176.0,,40.7737539,-73.80465699999998,Flushing,wood floor
NY_8219,Condo/Co-op,Flushing,1.0,1.0,Flushing,850.0,,1953.0,458.0,,40.7536186,-73.8198968,Flushing,No
NY_1671,Multi-Family (2-4 Unit),Astoria,3.0,2.0,Astoria,1260.0,1800.0,1940.0,173.0,,40.775338,-73.91901700000003,Astoria,wood floor
NY_1485,Condo/Co-op,Bronx,2.0,2.0,Riverdale,1000.0,,1954.0,614.0,,40.8871375,-73.9111354,Riverdale,No
NY_8894,Condo/Co-op,Bronx,2.0,1.0,Bronx,950.0,,1939.0,997.0,,40.8420527,-73.8264218,Bronx,No
NY_3495,Multi-Family (2-4 Unit),Flushing,5.0,3.0,Flushing,1488.0,2400.0,1925.0,659.0,,40.739469,-73.808093,Flushing,wood floor
NY_534,Single Family Residential,Staten Island,3.0,2.0,Annandale,2392.0,4000.0,1975.0,628.0,,40.5451298,-74.1842519,Annandale,No
NY_2367,Condo/Co-op,Flushing,2.0,1.0,Kew Garden Hills,900.0,,1950.0,442.0,,40.7307738,-73.8297892,Kew Garden Hills,wood floor
NY_4955,Single Family Residential,Staten Island,4.0,3.0,New Dorp,1187.0,5850.0,1950.0,778.0,,40.57655,-74.1235484,New Dorp,No
NY_6265,Condo/Co-op,New York,2.0,1.0,New York,800.0,,1904.0,176.0,,40.8420774,-73.9389643,New York,No
NY_2765,Condo/Co-op,Jackson Heights,1.0,1.0,81st-82nd St. Owners,695.0,,1960.0,703.0,,40.75495720000001,-73.88549379999998,81st-82nd St. Owners,wood floor
NY_3444,Townhouse,Whitestone,2.0,2.0,Whitestone,1024.0,1600.0,1940.0,708.0,,40.793829,-73.804503,Whitestone,No
NY_4567,Single Family Residential,Bellerose,3.0,1.5,Bellerose,1485.0,4000.0,1940.0,747.0,,40.730058,-73.714588,Bellerose,wood floor
